username,email,password,longitude,latitude
fdrover89,rlegg89@dropbox.com,aCDqypmD5,112.3763,-8.2538
lpyer8a,akyberd8a@techcrunch.com,COu4lbWfRcL,-71.3977,41.8267
bspurett8b,ocoste8b@ihg.com,svG2BrM4AS3X,6.7836,51.2165
jtutt8c,cwestfield8c@livejournal.com,SUxRD65JQ,114.7166,-3.6184
dballston8d,pknightly8d@army.mil,jzJ4WaOQXgpy,12.9401,57.721
hmacsherry8e,ypottberry8e@alibaba.com,1HvCQ57o,15.6167,58.4167
oblock8f,jvallentin8f@yale.edu,62HhcwNdR,-88.5,14.83333
ckleinholz8g,hlongmore8g@cdc.gov,ksJVmwUm018,-42.53667,-19.46833
ldike8h,ccauser8h@arstechnica.com,PsuufZybB,-106.3,31.6948
dannakin8i,igillum8i@indiegogo.com,WCxHIAAf,109.17753,28.45936
wmabbutt8j,rjeannesson8j@xinhuanet.com,5B7PE3PV5V,119.88457,31.48474
slogsdale8k,gfattori8k@bravesites.com,eCLlrPMoa,15.1878,60.1496
gvasyutichev8l,mfilyukov8l@oakley.com,GPK8mPAwaMB,111.0889,-6.6492
hmengue8m,kflores8m@blinklist.com,l55z0oFmlxu,120.10588,37.42048
sgoby8n,kbuick8n@typepad.com,8EmVaXc,117.86574,29.47235
nbikker8o,agittose8o@wsj.com,AE0uib,33.14721,46.42476
iroddick8p,mponton8p@t.co,HXzuXRL1ZhdF,37.66727,55.07523
gmacnamee8q,grolley8q@stanford.edu,JLiZGK,40.545,49.93577
agrubey8r,ldahlman8r@artisteer.com,oaULlZn0gHc,15.23555,46.15463
sgauge8s,josmund8s@angelfire.com,Fp9GQWATP8,73.17623,42.86772
dcrier8t,bodcroft8t@umich.edu,p6DSFcK3f,107.36811,-7.42303
edoneld8u,gshubotham8u@altervista.org,XsGrTXs,112.889,29.84328
pwarmington8v,rlufkin8v@mapquest.com,QVLSB2wON8qK,56.34141,25.11641
kmcilvaney8w,ghatchell8w@ox.ac.uk,OHc7IlDbSS,18.00307,54.78797
rkimm8x,zjohnstone8x@livejournal.com,MvYfZNybeeX5,-71.70083,-15.66083
tlaydel8y,sscarlet8y@bbb.org,tY8uQ74M11,119.9325,30.27528
bcastro8z,hhubbock8z@biblegateway.com,Ziz5z1I7,26.51667,43.76667
dwyatt90,dcarswell90@tuttocitta.it,P9G2t14mt,108.2327,-7.2845
pmarzella91,arawcliff91@last.fm,Y7Qt15Lhcf,111.8995,-8.0503
nborgne92,mzimmermeister92@army.mil,wtf7P1Ip,116.86917,25.64917
bbusher93,ffagan93@fotki.com,8vGdDc3j0e,123.8017,48.84969
bagget94,yarpe94@google.co.uk,DwkGpTwEmeF,19.81139,43.46056
linold95,rodcroft95@meetup.com,aoHjVaD3fB,22.58394,52.26816
rbasili96,bgeertsen96@phpbb.com,SIKps7BF,-9.2667,38.7667
grideout97,sdukelow97@e-recht24.de,rwwcsFBKT,104.81379,36.72752
mgarham98,hminkin98@nature.com,DEfnb7zOF,-2.26075,12.9591
xbernardos99,ldunstall99@goodreads.com,oWxv2BT69,125.2459,48.87904
htomaszek9a,djanney9a@smh.com.au,TYy6e1YLxTeA,123.5835,10.3148
rcouthard9b,mmulqueeny9b@intel.com,GhCySxN8Ys,115.04814,30.24706
rhumby9c,cvancassel9c@unicef.org,4EtXD8tCCQB6,109.08917,-7.54528
fbeckson9d,jdaws9d@list-manage.com,VFlKiVf,110.31647,47.38254
amasdin9e,atuckley9e@epa.gov,Qi2a4tNFQ1HG,70.44622,54.90521
emcilvaney9f,jgeorgiades9f@ovh.net,5hUzmb,19.03556,45.14028
lmacpherson9g,sbarby9g@reverbnation.com,UaOatQ,18.4348,51.37033
bgrancher9h,wmccuis9h@howstuffworks.com,VIJWtD45eO,108.18765,34.86565
